scene,frame,category,iou,acc
figurines,f,old camera,tensor(0.),1.0
figurines,f,toy elephant,tensor(0.6708),1.0
figurines,f,waldo,tensor(0.),0.0
figurines,f,tesla door handle,tensor(0.),0.0
figurines,f,porcelain hand,tensor(0.),0.0
figurines,f,rubber duck with hat,tensor(0.7947),1.0
figurines,f,rubber duck with buoy,tensor(0.),0.0
figurines,f,pink ice cream,tensor(0.),0.0
figurines,f,red toy chair,tensor(0.5563),1.0
figurines,f,green apple,tensor(0.),0.0
figurines,f,pikachu,tensor(0.),0.0
figurines,f,red apple,tensor(0.),0.0
figurines,f,spatula,tensor(0.),1.0
figurines,f,jake the dog,tensor(0.),1.0
figurines,f,toy cat statue,tensor(0.),0.0
figurines,f,pirate hat,tensor(0.),1.0
figurines,f,miffy,tensor(0.),1.0
figurines,r,rubics cube,tensor(0.8946),1.0
figurines,r,green apple,tensor(0.7726),1.0
figurines,r,green toy chair,tensor(0.5671),1.0
figurines,r,jake the dog,tensor(0.6353),1.0
figurines,r,old camera,tensor(0.6141),1.0
figurines,r,pink ice cream,tensor(0.2607),1.0
figurines,r,pumpkin,tensor(0.3836),0.0
figurines,r,red apple,tensor(0.7771),1.0
figurines,r,rubber duck with hat,tensor(0.1878),0.0
figurines,r,tesla door handle,tensor(0.),1.0
figurines,r,spatula,tensor(0.),1.0
figurines,r,rubber duck with buoy,tensor(0.0582),1.0
figurines,r,pirate hat,tensor(0.),1.0
figurines,a,rubber duck with hat,tensor(0.5625),1.0
figurines,a,rubics cube,tensor(0.8899),1.0
figurines,a,toy elephant,tensor(0.9299),1.0
figurines,a,green apple,tensor(0.3777),1.0
figurines,a,jake the dog,tensor(0.4395),1.0
figurines,a,toy cat statue,tensor(0.),0.0
figurines,a,pikachu,tensor(0.4753),1.0
figurines,a,porcelain hand,tensor(0.6840),1.0
figurines,a,red apple,tensor(0.1718),1.0
figurines,a,waldo,tensor(0.6310),1.0
figurines,a,pirate hat,tensor(0.),1.0
figurines,m,toy elephant,tensor(0.8735),1.0
figurines,m,pink ice cream,tensor(0.5725),1.0
figurines,m,porcelain hand,tensor(0.0368),1.0
figurines,m,green apple,tensor(0.3526),0.0
figurines,m,green toy chair,tensor(0.4301),1.0
figurines,m,old camera,tensor(0.5222),1.0
figurines,m,rubics cube,tensor(0.8393),1.0
figurines,m,spatula,tensor(0.),1.0
figurines,m,toy cat statue,tensor(0.),0.0
figurines,m,waldo,tensor(0.6823),1.0
figurines,m,rubber duck with buoy,tensor(0.),1.0
figurines,m,pirate hat,tensor(0.),1.0
figurines,m,miffy,tensor(0.0190),0.0
figurines,m,bag,tensor(0.),0.0
figurines,m,rubber duck with hat,tensor(0.3101),0.0
ramen,f,bowl,tensor(0.7525),1.0
ramen,f,chopsticks,tensor(0.7357),1.0
ramen,f,egg,tensor(0.7607),1.0
ramen,f,nori,tensor(0.9612),1.0
ramen,f,wavy noodles,tensor(0.6693),1.0
ramen,f,kamaboko,tensor(0.8523),1.0
ramen,f,onion segments,tensor(0.),0.0
ramen,f,corn,tensor(0.),1.0
ramen,r,chopsticks,tensor(0.5820),1.0
ramen,r,egg,tensor(0.7678),1.0
ramen,r,sake cup,tensor(0.3929),1.0
ramen,r,napkin,tensor(0.6913),1.0
ramen,r,wavy noodles,tensor(0.7080),1.0
ramen,r,kamaboko,tensor(0.8506),1.0
ramen,r,corn,tensor(0.),1.0
ramen,r,onion segments,tensor(0.),0.0
ramen,a,bowl,tensor(0.6557),1.0
ramen,a,egg,tensor(0.7556),1.0
ramen,a,chopsticks,tensor(0.5094),1.0
ramen,a,sake cup,tensor(0.6628),1.0
ramen,a,wavy noodles,tensor(0.7053),1.0
ramen,a,nori,tensor(0.7740),1.0
ramen,a,napkin,tensor(0.0333),0.0
ramen,a,kamaboko,tensor(0.8736),1.0
ramen,a,plate,tensor(0.5884),1.0
ramen,a,corn,tensor(0.),1.0
ramen,a,onion segments,tensor(0.),0.0
ramen,m,bowl,tensor(0.3525),1.0
ramen,m,chopsticks,tensor(0.5282),1.0
ramen,m,sake cup,tensor(0.6587),1.0
ramen,m,nori,tensor(0.8441),1.0
ramen,m,egg,tensor(0.8037),1.0
ramen,m,wavy noodles,tensor(0.7890),1.0
ramen,m,glass of water,tensor(0.8625),1.0
ramen,m,kamaboko,tensor(0.8781),1.0
ramen,m,spoon,tensor(0.),0.0
ramen,m,napkin,tensor(0.1956),1.0
ramen,m,plate,tensor(0.3495),1.0
ramen,m,onion segments,tensor(0.),0.0
ramen,e,glass of water,tensor(0.8474),1.0
ramen,e,nori,tensor(0.6876),1.0
ramen,e,egg,tensor(0.8021),1.0
ramen,e,sake cup,tensor(0.7438),1.0
ramen,e,bowl,tensor(0.3801),1.0
ramen,e,chopsticks,tensor(0.5496),1.0
ramen,e,wavy noodles,tensor(0.7156),1.0
ramen,e,spoon,tensor(0.),0.0
ramen,e,corn,tensor(0.),1.0
ramen,e,onion segments,tensor(0.),0.0
ramen,e,hand,tensor(0.),1.0
ramen,e,plate,tensor(0.3693),1.0
ramen,e,kamaboko,tensor(0.8714),1.0
ramen,e,napkin,tensor(0.5910),1.0
teatime,f,stuffed bear,tensor(0.9352),1.0
teatime,f,coffee mug,tensor(0.7904),1.0
teatime,f,bag of cookies,tensor(0.3144),0.0
teatime,f,sheep,tensor(0.8643),1.0
teatime,f,apple,tensor(0.8999),1.0
teatime,f,paper napkin,tensor(0.4445),1.0
teatime,f,plate,tensor(0.0862),1.0
teatime,f,tea in a glass,tensor(0.6130),0.0
teatime,f,bear nose,tensor(0.),0.0
teatime,f,three cookies,tensor(0.3102),1.0
teatime,f,coffee,tensor(0.1817),1.0
teatime,r,stuffed bear,tensor(0.9787),1.0
teatime,r,sheep,tensor(0.9386),1.0
teatime,r,bag of cookies,tensor(0.0487),0.0
teatime,r,tea in a glass,tensor(0.5460),0.0
teatime,r,coffee mug,tensor(0.7130),1.0
teatime,r,plate,tensor(0.0575),1.0
teatime,r,three cookies,tensor(0.4652),1.0
teatime,r,hooves,tensor(0.1722),0.0
teatime,r,paper napkin,tensor(0.2438),1.0
teatime,r,coffee,tensor(0.2810),1.0
teatime,r,bear nose,tensor(0.),0.0
teatime,a,tea in a glass,tensor(0.6284),0.0
teatime,a,hooves,tensor(0.2990),1.0
teatime,a,stuffed bear,tensor(0.7355),1.0
teatime,a,bag of cookies,tensor(0.0091),0.0
teatime,a,paper napkin,tensor(0.2762),1.0
teatime,a,plate,tensor(0.1029),1.0
teatime,a,apple,tensor(0.9037),1.0
teatime,a,coffee mug,tensor(0.4945),1.0
teatime,a,coffee,tensor(0.4515),1.0
teatime,a,three cookies,tensor(0.5375),1.0
teatime,m,stuffed bear,tensor(0.9768),1.0
teatime,m,sheep,tensor(0.8263),1.0
teatime,m,apple,tensor(0.9041),1.0
teatime,m,bag of cookies,tensor(0.3156),0.0
teatime,m,coffee mug,tensor(0.7866),1.0
teatime,m,tea in a glass,tensor(0.5886),0.0
teatime,m,bear nose,tensor(0.0005),0.0
teatime,m,plate,tensor(0.1183),1.0
teatime,m,three cookies,tensor(0.3294),1.0
teatime,m,dall-e brand,tensor(0.4947),1.0
teatime,m,paper napkin,tensor(0.6051),1.0
teatime,e,tea in a glass,tensor(0.6944),1.0
teatime,e,apple,tensor(0.9733),1.0
teatime,e,yellow pouf,tensor(0.4859),1.0
teatime,e,sheep,tensor(0.8689),1.0
teatime,e,three cookies,tensor(0.5854),1.0
teatime,e,plate,tensor(0.0586),1.0
teatime,e,dall-e brand,tensor(0.4204),1.0
waldo_kitchen,f,knife,tensor(0.2120),1.0
waldo_kitchen,f,yellow desk,tensor(0.2149),0.0
waldo_kitchen,f,toaster,tensor(0.4168),1.0
waldo_kitchen,f,Stainless steel pots,tensor(0.2276),1.0
waldo_kitchen,f,pour-over vessel,tensor(0.),1.0
waldo_kitchen,f,ottolenghi,tensor(0.),0.0
waldo_kitchen,r,plastic ladle,tensor(0.5549),1.0
